Type,College,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New frosh, CMCI , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 37 , 46 , 28 , 23 , 15 , 26 , 103 , 92 , 106 , 215 , 246 , 303 , 321 , 341 
Transfers, CMCI , 9 , 7 , 6 , 4 , 2 , 5 , 5 , 9 , 4 , 8 , 11 , 15 , 10 , 14 , 12 , 5 , 6 , 11 , 14 , 17 , 21 , 31 , 24 , 14 , 28 , 42 , 64 , 70 , 60 
IUT's, CMCI , 154 , 196 , 170 , 167 , 199 , 201 , 190 , 218 , 229 , 348 , 244 , 260 , 230 , 234 , 244 , 251 , 234 , 217 , 255 , 241 , 236 , 243 , 122 , 175 , 150 , 342 , 382 , 589 , 492 
Contin/readm, CMCI , 198 , 173 , 187 , 173 , 157 , 177 , 191 , 170 , 165 , 178 , 318 , 325 , 337 , 313 , 294 , 311 , 314 , 356 , 346 , 380 , 365 , 370 , 420 , 431 , 101 ," 1,037 "," 1,048 ", 974 ," 1,241 "
New to campus,, 9 , 7 , 6 , 4 , 2 , 5 , 5 , 9 , 4 , 8 , 11 , 15 , 10 , 14 , 12 , 42 , 52 , 39 , 37 , 32 , 47 , 134 , 116 , 120 , 243 , 288 , 367 , 391 , 401 
New to college,, 163 , 203 , 176 , 171 , 201 , 206 , 195 , 227 , 233 , 356 , 255 , 275 , 240 , 248 , 256 , 293 , 286 , 256 , 292 , 273 , 283 , 377 , 238 , 295 , 393 , 630 , 749 , 980 , 893 
Total,, 361 , 376 , 363 , 344 , 358 , 383 , 386 , 397 , 398 , 534 , 573 , 600 , 577 , 561 , 550 , 604 , 600 , 612 , 638 , 653 , 648 , 747 , 658 , 726 , 494 ," 1,667 "," 1,797 "," 1,954 "," 2,134 "
Cum GPA of IUT's,,3.16,3.14,3.21,3.16,3.08,3.10,3.08,3.11,3.16,3.18,3.26,3.31,3.31,3.35,3.35,3.27,3.29,3.26,3.22,3.19,3.18,3.00,3.12,3.09,2.98,3.10,3.06,3.08,3.07
IUT as % of A&S prior yr,,,1.4%,1.2%,1.2%,1.4%,1.5%,1.4%,1.5%,1.6%,2.4%,1.7%,1.7%,1.5%,1.4%,1.5%,1.5%,1.4%,1.3%,1.5%,1.4%,1.4%,1.4%,0.7%,1.1%,0.9%,2.1%,2.4%,3.5%,2.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent New frosh,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,8%,5%,4%,2%,4%,14%,14%,15%,44%,15%,17%,16%,16%
Percent Transfers,,2%,2%,2%,1%,1%,1%,1%,2%,1%,1%,2%,3%,2%,2%,2%,1%,1%,2%,2%,3%,3%,4%,4%,2%,6%,3%,4%,4%,3%
Percent IUT's,,43%,52%,47%,49%,56%,52%,49%,55%,58%,65%,43%,43%,40%,42%,44%,42%,39%,35%,40%,37%,36%,33%,19%,24%,30%,21%,21%,30%,23%
Percent Contin/readm,,55%,46%,52%,50%,44%,46%,49%,43%,41%,33%,55%,54%,58%,56%,53%,51%,52%,58%,54%,58%,56%,50%,64%,59%,20%,62%,58%,50%,58%
Percent New to campus,,2%,2%,2%,1%,1%,1%,1%,2%,1%,1%,2%,3%,2%,2%,2%,7%,9%,6%,6%,5%,7%,18%,18%,17%,49%,17%,20%,20%,19%
Percent New to college,,45%,54%,48%,50%,56%,54%,51%,57%,59%,67%,45%,46%,42%,44%,47%,49%,48%,42%,46%,42%,44%,50%,36%,41%,80%,38%,42%,50%,42%
Total,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
