,id,name,symbol,rank,price_usd,price_btc,X24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
0,ripple,Ripple,XRP,2,2.29933,0.00017157,2126830000.0,89074077921.0,38739144847.0,99993093880.0,100000000000.0,1.85,2.03,104.76,1514877241.0
1,ethereum,Ethereum,ETH,3,881.32,0.0657614,4720680000.0,85240084528.0,96718654.0,96718654.0,0.0,0.88,14.21,13.91,1514877249.0
2,bitcoin-cash,Bitcoin Cash,BCH,4,2448.16,0.182674,1086780000.0,41346668220.0,16888875.0,16888875.0,21000000.0,0.13,-2.59,-18.72,1514877253.0
3,cardano,Cardano,ADA,5,0.7050310000000001,5.261e-05,158158000.0,18279388468.0,25927070538.0,31112483745.0,45000000000.0,0.69,-0.43,68.51,1514877255.0
4,litecoin,Litecoin,LTC,6,245.097,0.0182884,846307000.0,13376814153.0,54577633.0,54577633.0,84000000.0,1.75,5.04,-12.85,1514877241.0
5,iota,IOTA,MIOTA,7,4.10661,0.00030642,303040000.0,11414446855.0,2779530283.0,2779530283.0,2779530283.0,4.69,13.19,13.13,1514877251.0
6,nem,NEM,XEM,8,1.0892899999999999,8.128e-05,62901400.0,9803609999.0,8999999999.0,8999999999.0,0.0,1.73,2.39,11.84,1514877244.0
7,dash,Dash,DASH,9,1121.35,0.083672,178535000.0,8734782750.0,7789524.0,7789524.0,18900000.0,-0.11,6.29,-6.88,1514877242.0
8,stellar,Stellar,XLM,10,0.483887,3.611e-05,524869000.0,8650506668.0,17877121452.0,103570548975.0,0.0,2.0,7.18,115.87,1514877243.0
9,monero,Monero,XMR,11,369.602,0.027578500000000002,169224000.0,5746102844.0,15546731.0,15546731.0,0.0,-2.57,4.91,-0.77,1514877242.0
10,neo,NEO,NEO,12,87.0358,0.00649434,220914000.0,5657327000.0,65000000.0,100000000.0,0.0,2.43,13.79,32.6,1514877247.0
11,eos,EOS,EOS,13,9.43723,0.00070418,445265000.0,5447115083.0,577194270.0,900000000.0,1000000000.0,-0.14,5.37,-4.58,1514877251.0
12,bitcoin-gold,Bitcoin Gold,BTG,14,274.597,0.0204895,108853000.0,4596914718.0,16740586.0,16840586.0,21000000.0,0.43,-1.5,-10.42,1514877255.0
13,qtum,Qtum,QTUM,15,60.8943,0.00454374,704443000.0,4492625321.0,73777436.0,100277436.0,0.0,-0.26,-1.04,4.55,1514877251.0
14,raiblocks,RaiBlocks,XRB,16,32.6439,0.00243579,72209800.0,4349743828.0,133248289.0,133248289.0,133248290.0,-10.83,37.89,348.14,1514877249.0
15,tron,TRON,TRX,17,0.057727199999999985,4.31e-06,627961000.0,3795459057.0,65748192475.0,100000000000.0,0.0,-0.16,26.92,59.12,1514877254.0
16,ethereum-classic,Ethereum Classic,ETC,18,34.874,0.00260219,550904000.0,3446093247.0,98815543.0,98815543.0,0.0,-0.38,0.17,5.4,1514877247.0
17,lisk,Lisk,LSK,19,21.4076,0.00159737,53729900.0,2495466463.0,116569184.0,116569184.0,0.0,1.77,4.27,-15.47,1514877246.0
18,bitconnect,BitConnect,BCC,20,387.01,0.028877499999999997,27516400.0,2397095246.0,6193885.0,9432231.0,28000000.0,3.6,-11.24,68.3,1514877248.0
19,icon,ICON,ICX,21,6.32167,0.0004717,128303000.0,2382500590.0,376878355.0,400230000.0,0.0,1.47,16.31,-0.12,1514877255.0
20,bitshares,BitShares,BTS,22,0.8819620000000001,6.581e-05,105521000.0,2298816314.0,2606480000.0,2606480000.0,3600570502.0,4.08,25.67,50.23,1514877243.0
21,verge,Verge,XVG,23,0.157105,1.172e-05,625999000.0,2265586849.0,14420844967.0,14420844967.0,16555000000.0,4.43,-18.63,-8.93,1514877243.0
22,omisego,OmiseGO,OMG,24,19.8314,0.00147976,166743000.0,2023646661.0,102042552.0,140245398.0,0.0,2.96,-0.82,28.95,1514877252.0
23,zcash,Zcash,ZEC,25,610.242,0.0455343,277758000.0,1810538432.0,2966919.0,2966919.0,0.0,-1.19,17.58,8.27,1514877248.0
24,ardor,Ardor,ARDR,26,1.6585,0.00012375,31917000.0,1656840662.0,998999495.0,998999495.0,998999495.0,0.61,-1.35,0.41,1514877247.0
25,populous,Populous,PPT,27,42.7259,0.00318807,2382080.0,1581030353.0,37004027.0,53252246.0,53252246.0,-0.44,6.02,4.47,1514877252.0
26,stratis,Stratis,STRAT,28,15.9458,0.00118983,74341100.0,1573602857.0,98684472.0,98684472.0,0.0,1.53,7.49,6.89,1514877247.0
27,steem,Steem,STEEM,29,6.305,0.00047046,81444300.0,1555700483.0,246740759.0,263714853.0,0.0,0.02,103.36,84.92,1514877246.0
28,tether,Tether,USDT,30,1.00435,7.494e-05,1974220000.0,1374041027.0,1368089837.0,1399999377.0,0.0,0.45,-0.23,-0.71,1514877245.0
29,waves,Waves,WAVES,31,12.9233,0.00096429,48829200.0,1292330000.0,100000000.0,100000000.0,0.0,0.92,3.13,-10.34,1514877247.0
30,hshare,Hshare,HSR,32,27.7819,0.00207299,212218000.0,1179231461.0,42446034.0,42446034.0,84000000.0,1.34,-1.64,-0.61,1514877253.0
31,bytecoin-bcn,Bytecoin,BCN,33,0.00606268,4.5e-07,5553250.0,1111007539.0,183253534612.0,183253534612.0,184470000000.0,2.44,2.98,-8.18,1514877243.0
32,komodo,Komodo,KMD,34,10.163,0.00075833,13618100.0,1055714823.0,103878267.0,103878267.0,0.0,-0.04,2.67,-1.08,1514877249.0
33,dogecoin,Dogecoin,DOGE,35,0.00889655,6.6e-07,55113500.0,1001685851.0,112592617441.0,112592617441.0,0.0,0.27,0.99,-0.41,1514877242.0
34,siacoin,Siacoin,SC,36,0.0300688,2.24e-06,17880900.0,944044440.0,31396146174.0,31396146174.0,0.0,0.82,-0.09,4.57,1514877245.0
35,augur,Augur,REP,37,81.9022,0.00611128,16635700.0,900924200.0,11000000.0,11000000.0,0.0,-1.01,12.22,-1.49,1514877245.0
36,status,Status,SNT,38,0.25392,1.895e-05,93893900.0,881225243.0,3470483788.0,6804870174.0,0.0,1.8,-8.78,81.98,1514877251.0
37,golem-network-tokens,Golem,GNT,39,1.0539,7.864e-05,47309200.0,879228722.0,834262000.0,1000000000.0,0.0,6.59,28.14,53.09,1514877249.0
38,binance-coin,Binance Coin,BNB,40,8.321,0.00062089,78710100.0,823895494.0,99014000.0,199013968.0,0.0,0.73,-2.78,14.16,1514877252.0
39,ark,Ark,ARK,41,8.152660000000001,0.00060832,24897000.0,798808095.0,97981284.0,129231284.0,0.0,2.89,15.68,6.45,1514877250.0
40,veritaseum,Veritaseum,VERI,42,369.101,0.0275411,1289080.0,751727869.0,2036645.0,100000000.0,0.0,-0.22,7.44,1.62,1514877250.0
41,decred,Decred,DCR,43,108.876,0.00812399,4873710.0,704972466.0,6475003.0,6895003.0,21000000.0,1.81,10.34,17.58,1514877246.0
42,digibyte,DigiByte,DGB,44,0.06976349999999999,5.21e-06,26845100.0,672346125.0,9637505638.0,9637505638.0,21000000000.0,1.55,3.58,8.87,1514877241.0
43,salt,SALT,SALT,45,12.1657,0.00090776,32294500.0,657756384.0,54066464.0,120000000.0,0.0,-0.18,-2.35,4.14,1514877254.0
44,vechain,VeChain,VEN,46,2.31819,0.00017298,81217400.0,642515645.0,277162633.0,867162633.0,0.0,0.7,1.12,67.72,1514877254.0
45,nxt,Nxt,NXT,47,0.6321869999999999,4.717e-05,70650900.0,631554776.0,998999942.0,998999942.0,1000000000.0,1.6,-1.42,-63.28,1514877241.0
46,pivx,PIVX,PIVX,48,11.1834,0.00083447,6680510.0,617976098.0,55258338.0,55258338.0,0.0,0.88,7.62,-12.69,1514877246.0
47,dragonchain,Dragonchain,DRGN,49,2.47738,0.00018485,14099000.0,590661746.0,238421940.0,433494437.0,0.0,1.81,38.54,165.28,1514877257.0
48,factom,Factom,FCT,50,65.7356,0.00490498,109667000.0,574864527.0,8745102.0,8745102.0,0.0,2.07,11.81,52.73,1514877245.0
49,monacoin,MonaCoin,MONA,51,9.953619999999999,0.00074271,7413770.0,561699946.0,56431725.0,56431725.0,0.0,1.43,0.57,-15.34,1514877242.0
50,maidsafecoin,MaidSafeCoin,MAID,52,1.13245,8.45e-05,22089900.0,512492979.0,452552412.0,452552412.0,0.0,0.57,9.14,29.36,1514877242.0
51,request-network,Request Network,REQ,53,0.784122,5.851e-05,107803000.0,502449486.0,640779733.0,999999999.0,0.0,-1.4,31.93,129.99,1514877255.0
52,basic-attention-token,Basic Attention Token,BAT,54,0.500432,3.734e-05,31609600.0,500432000.0,1000000000.0,1500000000.0,0.0,-1.33,24.4,27.26,1514877250.0
53,byteball,Byteball Bytes,GBYTE,55,773.2,0.057693799999999996,1913870.0,498885691.0,645222.0,1000000.0,0.0,1.44,5.84,8.75,1514877248.0
54,zcoin,ZCoin,XZC,56,130.21200000000002,0.00971597,20008300.0,493946698.0,3793404.0,3793404.0,0.0,1.75,15.02,-10.27,1514877248.0
55,power-ledger,Power Ledger,POWR,57,1.3046,9.735e-05,83169200.0,464730852.0,356224783.0,1000000000.0,0.0,3.21,24.09,36.57,1514877256.0
56,0x,0x,ZRX,58,0.9730030000000001,7.26e-05,19931200.0,463595937.0,476458898.0,1000000000.0,0.0,-0.08,1.64,51.78,1514877253.0
57,syscoin,Syscoin,SYS,59,0.8437450000000001,6.296e-05,11645100.0,447150091.0,529958803.0,529958803.0,888000000.0,10.13,13.67,16.3,1514877243.0
58,tenx,TenX,PAY,60,4.13134,0.00030827,16900600.0,432391456.0,104661310.0,205218256.0,0.0,2.14,2.23,-7.07,1514877252.0
59,kyber-network,Kyber Network,KNC,61,3.1284799999999997,0.00023344,24946600.0,419631460.0,134132697.0,215625349.0,0.0,-2.25,15.98,23.92,1514877255.0
60,wax,WAX,WAX,62,0.837885,6.252e-05,10033000.0,413039213.0,492954537.0,1850000000.0,0.0,-0.8,-0.97,-8.24,1514877258.0
61,electroneum,Electroneum,ETN,63,0.0826048,6.16e-06,4914910.0,412818105.0,4997507466.0,5195262064.0,21000000000.0,2.26,-4.39,-5.77,1514877256.0
62,bitcoindark,BitcoinDark,BTCD,64,316.226,0.0235958,195254.0,407571733.0,1288862.0,1288862.0,0.0,1.92,-0.55,-0.09,1514877243.0
63,kucoin-shares,KuCoin Shares,KCS,65,4.2995,0.00032082,7025010.0,391439705.0,91043076.0,181043076.0,0.0,3.27,20.85,236.89,1514877255.0
64,rchain,RChain,RHOC,66,2.0552599999999996,0.00015336,4262380.0,376036936.0,182963195.0,870663574.0,1000000000.0,4.91,164.42,256.04,1514877254.0
65,santiment,Santiment Network Token,SAN,67,6.14844,0.00045878,17776700.0,372120103.0,60522686.0,83337000.0,0.0,2.5,7.86,2.97,1514877252.0
66,bytom,Bytom,BTM,68,0.37383,2.789e-05,16283500.0,368970210.0,987000000.0,1407000000.0,0.0,0.84,1.8,-7.0,1514877252.0
67,funfair,FunFair,FUN,69,0.085747,6.4e-06,30644400.0,364413913.0,4249873622.0,10999873621.0,0.0,0.51,-2.6,47.27,1514877252.0
68,aion,Aion,AION,70,5.70489,0.00042568,10161100.0,349708935.0,61299856.0,465934587.0,0.0,0.58,12.8,-1.01,1514877255.0
69,digixdao,DigixDAO,DGD,71,171.84799999999996,0.012822799999999999,7923680.0,343696000.0,2000000.0,2000000.0,0.0,-1.79,9.57,-0.92,1514877246.0
70,civic,Civic,CVC,72,0.943366,7.039e-05,22701500.0,323291496.0,342699966.0,1000000000.0,0.0,3.92,10.07,4.41,1514877252.0
71,aeternity,Aeternity,AE,73,1.38029,0.00010299,1845960.0,321635827.0,233020472.0,273685830.0,0.0,0.08,5.14,-3.83,1514877251.0
72,qash,QASH,QASH,74,0.909275,6.785e-05,14803900.0,318246250.0,350000000.0,1000000000.0,0.0,2.89,3.04,2.64,1514877257.0
73,ethos,Ethos,ETHOS,75,4.17478,0.00031151,17270000.0,314786604.0,75401962.0,222295208.0,0.0,5.27,38.28,60.29,1514877252.0
74,storj,Storj,STORJ,76,2.31198,0.00017251,22908500.0,305974170.0,132342914.0,424999998.0,0.0,1.34,-1.82,51.51,1514877252.0
75,gas,Gas,GAS,77,33.3119,0.00248563,12933800.0,304390212.0,9137582.0,13802656.0,100000000.0,1.03,6.28,13.24,1514877252.0
76,vertcoin,Vertcoin,VTC,78,7.158589999999999,0.00053415,17395200.0,302838065.0,42304150.0,42304150.0,84000000.0,0.33,7.08,-5.21,1514877241.0
77,experience-points,Experience Points,XP,79,0.00150315,1.1e-07,8363900.0,297524822.0,197934219203.0,244724889664.0,0.0,-2.76,-18.8,477.27,1514877248.0
78,walton,Walton,WTC,80,11.7875,0.00087954,37113200.0,293487273.0,24898178.0,70000000.0,100000000.0,0.33,5.93,1.67,1514877253.0
79,reddcoin,ReddCoin,RDD,81,0.010187200000000002,7.6e-07,21062700.0,292485343.0,28711063217.0,28711063217.0,0.0,1.4,-12.14,-25.9,1514877241.0
80,enigma-project,Enigma,ENG,82,3.9065300000000014,0.00029149,38164100.0,292349747.0,74836171.0,150000000.0,0.0,-3.41,53.32,68.21,1514877255.0
81,gnosis-gno,Gnosis,GNO,83,260.535,0.0194403,6127120.0,287784356.0,1104590.0,10000000.0,0.0,4.72,25.54,21.17,1514877250.0
82,gamecredits,GameCredits,GAME,84,4.27776,0.00031919,4706280.0,275296751.0,64355352.0,64355352.0,0.0,3.0,3.68,-2.01,1514877243.0
83,kin,Kin,KIN,85,0.000363321,3e-08,2939240.0,274706122.0,756097560976.0,10000000000000.0,0.0,-0.15,-14.68,170.96,1514877255.0
84,quantstamp,Quantstamp,QSP,86,0.43565200000000004,3.251e-05,47101600.0,268934153.0,617314171.0,976442388.0,0.0,2.59,34.11,139.18,1514877257.0
85,raiden-network-token,Raiden Network Token,RDN,87,5.35986,0.00039994,18867000.0,268791276.0,50148936.0,100000000.0,0.0,-2.58,23.67,35.74,1514877256.0
86,skycoin,Skycoin,SKY,88,39.2856,0.00293137,1258720.0,268175902.0,6826316.0,25000000.0,100000000.0,-4.78,-11.6,40.1,1514877250.0
87,iconomi,Iconomi,ICN,89,2.61746,0.00019531,4384680.0,261191921.0,99788314.0,99788314.0,0.0,0.67,-2.71,4.45,1514877247.0
88,aelf,aelf,ELF,90,1.00861,7.526e-05,81282100.0,252152500.0,250000000.0,260000000.0,0.0,-1.31,-3.97,-9.69,1514877258.0
89,bancor,Bancor,BNT,91,5.9954300000000025,0.00044736,10582400.0,244450892.0,40772871.0,79384422.0,0.0,0.58,12.84,21.66,1514877251.0
90,chainlink,ChainLink,LINK,92,0.689275,5.143e-05,11482100.0,241246250.0,350000000.0,1000000000.0,0.0,-0.27,4.36,37.77,1514877254.0
91,decentraland,Decentraland,MANA,93,0.105688,7.89e-06,29084400.0,240308687.0,2273755650.0,2805886393.0,0.0,3.72,1.55,15.92,1514877254.0
92,substratum,Substratum,SUB,94,1.03568,7.728e-05,10553400.0,234158392.0,226091449.0,352000000.0,0.0,-0.72,-3.06,-3.19,1514877254.0
93,bridgecoin,BridgeCoin,BCO,95,8.38482,0.00062565,1272190.0,226390140.0,27000000.0,27000000.0,27000000.0,1.3,-2.45,477.11,1514877255.0
94,nav-coin,NAV Coin,NAV,96,3.6275199999999996,0.00027067,10297500.0,225804876.0,62247727.0,62247727.0,0.0,1.23,12.09,19.16,1514877243.0
95,ubiq,Ubiq,UBQ,97,5.67082,0.00042314,2442480.0,221102921.0,38989585.0,38989585.0,0.0,-0.85,1.9,30.58,1514877243.0
96,gxshares,GXShares,GXS,98,5.41481,0.00040404,9909500.0,219353953.0,40510000.0,100000000.0,100000000.0,2.2,6.41,5.83,1514877252.0
97,triggers,Triggers,TRIG,99,6.80265,0.00050759,10470000.0,218403007.0,32105578.0,32105578.0,0.0,4.26,-2.77,107.24,1514877248.0
98,cryptonex,Cryptonex,CNX,100,4.81077,0.00035896,96887.9,216690433.0,45042775.0,106480401.0,210000000.0,1.01,-6.26,-3.95,1514877255.0
99,einsteinium,Einsteinium,EMC2,101,0.974241,7.269e-05,31077300.0,210668068.0,216238146.0,216238146.0,0.0,2.43,10.17,2.33,1514877242.0
100,smartcash,SmartCash,SMART,102,0.390868,2.917e-05,561767.0,210396224.0,538279480.0,1139323760.0,5000000000.0,-0.82,1.12,116.17,1514877253.0
101,poet,Po.et,POE,103,0.0951542,7.1e-06,39316200.0,209015866.0,2196601583.0,3141592653.0,0.0,3.5,2.59,209.22,1514877253.0
102,blocknet,Blocknet,BLOCK,104,41.5525,0.00310052,401505.0,205806170.0,4952919.0,4952919.0,0.0,1.12,0.01,13.98,1514877244.0
103,monaco,Monaco,MCO,105,15.6339,0.00116655,64190200.0,204578058.0,13085542.0,31587682.0,0.0,3.86,2.04,-12.64,1514877251.0
104,edgeless,Edgeless,EDG,106,2.4626900000000003,0.00018376,11639000.0,202054573.0,82046288.0,132046997.0,0.0,3.61,10.48,12.32,1514877249.0
105,storm,Storm,STORM,107,0.0791153,5.9e-06,4799610.0,192220443.0,2429624141.0,10000000000.0,0.0,2.67,11.08,190.14,1514877258.0
106,bitbay,BitBay,BAY,108,0.185309,1.383e-05,8680340.0,186927093.0,1008731866.0,1008731866.0,0.0,4.78,8.49,-13.04,1514877244.0
107,zclassic,ZClassic,ZCL,109,102.596,0.00765541,29093500.0,185678241.0,1809800.0,1809800.0,0.0,1.55,-3.31,937.24,1514877248.0
108,metal,Metal,MTL,110,9.58564,0.00071525,26271300.0,185012380.0,19300994.0,66588888.0,0.0,0.82,18.38,11.64,1514877252.0
109,adx-net,AdEx,ADX,111,3.0610000000000004,0.00022840000000000002,27306700.0,184420092.0,60248315.0,100000000.0,100000000.0,0.97,7.1,27.03,1514877252.0
110,red-pulse,Red Pulse,RPX,112,0.338021,2.522e-05,4089040.0,183663203.0,543348500.0,1358371250.0,0.0,-1.17,-8.59,119.08,1514877255.0
111,ripio-credit-network,Ripio Credit Network,RCN,113,0.370989,2.768e-05,23345400.0,181425867.0,489033009.0,999942647.0,0.0,2.18,0.84,-8.17,1514877256.0
